,Credit_Limit,Customer_Age,Gender,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Avg_Utilization_Ratio,Total_Revolving_Bal,edu_College,edu_Doctorate,edu_Graduate,edu_High School,edu_Post-Graduate,edu_Uneducated,marital_Divorced,marital_Married,marital_Single,income_$120K +,income_$40K - $60K,income_$60K - $80K,income_$80K - $120K,income_Less than $40K
57,4458.0,56.0,1.0,2.0,50.0,4.0,2.0,0.422,1880.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
59,3336.0,42.0,1.0,2.0,34.0,4.0,4.0,0.525,1753.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
61,34516.0,48.0,1.0,2.0,35.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
62,5926.0,39.0,1.0,1.0,33.0,5.0,3.0,0.211,1251.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
63,23957.0,44.0,1.0,4.0,32.0,2.0,4.0,0.088,2102.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
64,14734.0,53.0,1.0,2.0,44.0,4.0,2.0,0.111,1634.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
65,34516.0,51.0,1.0,4.0,38.0,4.0,1.0,0.044,1515.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
66,6584.0,57.0,1.0,2.0,52.0,5.0,3.0,0.276,1817.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
67,2084.0,44.0,0.0,2.0,20.0,6.0,3.0,0.704,1468.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
68,1687.0,49.0,1.0,2.0,32.0,2.0,2.0,0.656,1107.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
69,25300.0,50.0,1.0,2.0,38.0,6.0,2.0,0.053,1330.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
70,34516.0,51.0,1.0,4.0,42.0,3.0,2.0,0.051,1763.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
71,2216.0,55.0,0.0,2.0,42.0,5.0,3.0,0.467,1034.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
73,22913.0,42.0,1.0,5.0,37.0,6.0,2.0,0.067,1528.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
74,24312.0,44.0,1.0,1.0,35.0,3.0,3.0,0.079,1932.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
75,5272.0,53.0,1.0,2.0,36.0,5.0,3.0,0.287,1515.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
76,7000.0,44.0,0.0,4.0,36.0,6.0,4.0,0.36,2517.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
77,7038.0,37.0,0.0,3.0,29.0,4.0,4.0,0.256,1801.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
78,2536.0,49.0,1.0,3.0,30.0,6.0,1.0,0.719,1823.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
79,28904.0,47.0,1.0,2.0,38.0,6.0,3.0,0.066,1899.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
80,8567.0,47.0,1.0,3.0,37.0,4.0,4.0,0.198,1695.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
84,34516.0,53.0,1.0,1.0,35.0,5.0,4.0,0.035,1219.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
85,3085.0,52.0,1.0,2.0,47.0,5.0,3.0,0.619,1910.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
86,19040.0,53.0,1.0,2.0,35.0,4.0,2.0,0.108,2056.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
87,4026.0,43.0,0.0,3.0,35.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
88,12756.0,44.0,1.0,3.0,31.0,4.0,3.0,0.066,837.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
90,9930.0,51.0,0.0,2.0,36.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
91,31302.0,49.0,1.0,4.0,38.0,4.0,3.0,0.062,1953.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
92,6576.0,45.0,1.0,1.0,36.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
93,2664.0,53.0,1.0,0.0,42.0,5.0,4.0,0.765,2037.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
95,1709.0,64.0,1.0,1.0,52.0,6.0,4.0,0.524,895.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
96,3454.0,45.0,1.0,3.0,35.0,5.0,4.0,0.347,1200.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
97,3789.0,53.0,1.0,3.0,35.0,5.0,3.0,0.45,1706.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
98,9689.0,56.0,1.0,3.0,50.0,3.0,2.0,0.232,2250.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
102,2940.0,53.0,1.0,3.0,34.0,6.0,2.0,0.43,1264.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
103,3031.0,44.0,0.0,2.0,32.0,3.0,3.0,0.62,1879.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
105,8358.0,43.0,0.0,4.0,33.0,2.0,3.0,0.111,926.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
106,34516.0,53.0,1.0,2.0,36.0,6.0,1.0,0.027,931.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
107,14450.0,44.0,1.0,1.0,36.0,5.0,2.0,0.169,2440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
110,8466.0,57.0,1.0,4.0,39.0,4.0,3.0,0.223,1886.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
112,3263.0,42.0,1.0,4.0,36.0,5.0,1.0,0.513,1674.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
113,1494.0,54.0,0.0,0.0,36.0,2.0,2.0,0.473,706.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
114,13551.0,48.0,1.0,3.0,35.0,6.0,1.0,0.095,1294.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
115,18886.0,49.0,1.0,1.0,36.0,6.0,2.0,0.047,895.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
117,9964.0,50.0,1.0,3.0,39.0,4.0,1.0,0.156,1559.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
118,24159.0,49.0,1.0,1.0,36.0,4.0,6.0,0.05,1196.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
119,5362.0,53.0,0.0,2.0,44.0,3.0,2.0,0.355,1901.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
120,34516.0,50.0,1.0,2.0,36.0,3.0,2.0,0.03,1023.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
121,3174.0,55.0,0.0,1.0,36.0,4.0,1.0,0.615,1951.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
122,12262.0,53.0,1.0,1.0,47.0,3.0,2.0,0.15,1836.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
123,3788.0,47.0,0.0,3.0,41.0,4.0,3.0,0.407,1540.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
124,34516.0,55.0,1.0,2.0,42.0,2.0,3.0,0.044,1527.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
125,2926.0,47.0,1.0,3.0,36.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
126,32090.0,58.0,1.0,4.0,52.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
127,11669.0,53.0,1.0,2.0,41.0,3.0,3.0,0.191,2227.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
128,13532.0,52.0,1.0,2.0,45.0,3.0,1.0,0.096,1300.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
130,2393.0,42.0,0.0,1.0,36.0,5.0,1.0,0.83,1985.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
132,19270.0,57.0,1.0,4.0,46.0,3.0,2.0,0.086,1662.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
133,3710.0,52.0,1.0,1.0,43.0,3.0,1.0,0.678,2517.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
134,3235.0,47.0,1.0,2.0,37.0,2.0,1.0,0.246,797.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
135,11749.0,44.0,0.0,3.0,38.0,3.0,1.0,0.067,788.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
136,7753.0,53.0,1.0,2.0,36.0,5.0,3.0,0.271,2100.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
137,10408.0,45.0,1.0,4.0,40.0,5.0,1.0,0.114,1186.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
139,6205.0,39.0,0.0,2.0,27.0,4.0,2.0,0.406,2517.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
140,8025.0,48.0,0.0,5.0,38.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
142,14926.0,54.0,1.0,4.0,34.0,2.0,3.0,0.169,2517.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
143,6335.0,59.0,0.0,1.0,36.0,3.0,2.0,0.178,1128.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
144,14979.0,59.0,1.0,1.0,53.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
145,2732.0,48.0,0.0,4.0,38.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
146,2250.0,41.0,0.0,2.0,32.0,6.0,3.0,0.941,2117.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
147,10916.0,55.0,1.0,2.0,50.0,3.0,2.0,0.141,1536.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
149,9366.0,41.0,1.0,2.0,24.0,4.0,1.0,0.118,1104.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
150,21617.0,40.0,1.0,3.0,28.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
152,18386.0,50.0,0.0,1.0,31.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
153,2405.0,47.0,1.0,4.0,41.0,6.0,2.0,0.64,1540.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
154,2154.0,53.0,0.0,1.0,47.0,4.0,2.0,0.432,930.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
156,8135.0,48.0,0.0,4.0,38.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
157,9364.0,49.0,1.0,1.0,38.0,6.0,1.0,0.066,618.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
159,3195.0,43.0,0.0,4.0,34.0,2.0,3.0,0.612,1954.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
160,2852.0,56.0,1.0,0.0,43.0,5.0,2.0,0.359,1024.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
162,20459.0,46.0,1.0,1.0,36.0,3.0,2.0,0.101,2071.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
164,3065.0,50.0,0.0,4.0,40.0,5.0,2.0,0.512,1570.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
165,2185.0,51.0,0.0,3.0,43.0,3.0,1.0,0.806,1761.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
166,1611.0,47.0,0.0,3.0,36.0,4.0,1.0,0.463,746.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
167,2822.0,58.0,0.0,4.0,47.0,3.0,3.0,0.77,2173.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
168,32975.0,46.0,1.0,5.0,33.0,6.0,3.0,0.076,2517.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
169,1438.3,53.0,1.0,3.0,47.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
171,6703.0,52.0,0.0,1.0,45.0,6.0,3.0,0.133,893.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
173,34516.0,50.0,1.0,2.0,45.0,3.0,1.0,0.037,1260.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
174,9797.0,41.0,0.0,3.0,36.0,4.0,1.0,0.146,1434.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
175,10400.0,45.0,0.0,5.0,36.0,5.0,2.0,0.171,1777.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
176,26792.0,53.0,1.0,3.0,42.0,2.0,1.0,0.069,1836.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
177,3006.0,67.0,0.0,1.0,56.0,4.0,3.0,0.837,2517.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
178,19482.0,57.0,0.0,2.0,36.0,6.0,3.0,0.055,1072.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
179,3356.0,59.0,0.0,1.0,36.0,4.0,2.0,0.294,985.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
180,5771.0,45.0,1.0,2.0,34.0,3.0,2.0,0.39,2248.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
181,11106.0,51.0,1.0,3.0,36.0,6.0,2.0,0.19,2107.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
182,2890.0,59.0,0.0,1.0,54.0,5.0,3.0,0.692,2001.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
183,3380.0,53.0,1.0,1.0,45.0,6.0,2.0,0.503,1701.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
184,21331.0,47.0,1.0,3.0,36.0,2.0,1.0,0.059,1251.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
186,6278.0,49.0,1.0,3.0,33.0,3.0,1.0,0.074,462.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
187,1438.3,60.0,0.0,0.0,55.0,5.0,1.0,0.513,738.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
188,9355.0,50.0,0.0,2.0,36.0,5.0,1.0,0.174,1626.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
190,14612.0,57.0,1.0,1.0,47.0,5.0,3.0,0.135,1976.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
192,6347.0,57.0,0.0,3.0,47.0,4.0,2.0,0.251,1594.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
193,21592.0,54.0,1.0,3.0,41.0,3.0,3.0,0.078,1676.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
194,3449.0,51.0,0.0,5.0,44.0,5.0,1.0,0.463,1598.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
